username,acctdesc,location,following,totaltweets,usercreatedts,tweetcreatedts,retweetcount,followers,text,hashtags
Hajiaput,Kalo dah di follback jangan di unfollow lagi woi,"Kalimantan Selatan, Indonesia",112,29,275,7/20/2013 16:03,12/20/2020 14:57,0,"Aku ini gk pro siapa siapa loh ya. Cuman mau nanya doang. 
Kalo nya ini tuh salah,lalu yg benar kek gimana ?
Aku sih orangnya perlu melihat dari segala arah dulu baru bisa menyimpulkan sesuatu. Emng bdh bgt aku 😭

#VaksinUntukNegeri 
#Vaksin https://t.co/mU9Up0UQ75","[{'text': 'VaksinUntukNegeri', 'indices': [214, 232]}, {'text': 'Vaksin', 'indices': [234, 241]}]"
mwpattikawa,,,152,140,17273,12/1/2011 8:56,12/20/2020 14:56,0,"BPOM Pastikan Keamanan dan Efektivitas Vaksin
https://t.co/SDEfXXUQYS

#bpom #vaksin #vaksìncovid19 #berita #news #pustakalewi @ Surabaya, Indonesia https://t.co/EOENc9mKvR","[{'text': 'bpom', 'indices': [71, 76]}, {'text': 'vaksin', 'indices': [77, 84]}, {'text': 'vaksìncovid19', 'indices': [85, 99]}, {'text': 'berita', 'indices': [100, 107]}, {'text': 'news', 'indices': [108, 113]}, {'text': 'pustakalewi', 'indices': [114, 126]}]"
Hajiaput,Kalo dah di follback jangan di unfollow lagi woi,"Kalimantan Selatan, Indonesia",112,29,275,7/20/2013 16:03,12/20/2020 14:56,0,"Aku ini gk pro siapa siapa loh ya. Cuman mau nanya doang. 
Kalo nya ini tuh salah,lalu yg benar kek gimana ?
Aku sih orangnya perlu melihat dari segala arah dulu baru bisa menyimpulkan sesuatu. Emng bdh bgt aku 😭

#VaksinUntukNegeri 
#Vaksin https://t.co/3IstDjGKD9","[{'text': 'VaksinUntukNegeri', 'indices': [214, 232]}, {'text': 'Vaksin', 'indices': [234, 241]}]"
dabenone2,,,1850,398,62405,1/22/2020 10:41,12/20/2020 14:51,1,"Ramai soal Vaksinasi, Apa Saja sih Sebetulnya Kandungan Vaksin Covid-19 itu?

https://t.co/JYMPlihz77

#vaksin #vaksinasi #indonesia #vaksinitubaik #lawancorona #lawancovid19 #ingatpesanibu #3m #corona #covid19 #animasi #tips","[{'text': 'vaksin', 'indices': [123, 130]}]"
harismz,"Suami, ayah, suka sejarah, fotografi, anti JIL, solidaritas untuk muslim seluruh dunia, doakan akun ini agar husnul khaatimah","Riyadh, KSA",2569,16708,134481,5/9/2010 8:19,12/20/2020 14:49,1,"ini anak siapa sih.

justru di saudi, mentri kesehatannya yg pertama kali di vaksin.

#Aagym #VaksinCOVID19 https://t.co/IUoeAnkJgo https://t.co/XW5vCVr1TU","[{'text': 'Aagym', 'indices': [86, 92]}, {'text': 'VaksinCOVID19', 'indices': [93, 107]}]"
pikiran_rakyat,"Lebih Tahu Jawa Barat
Kirimkan Foto/Video anda ke :
WA/Telegram : 08112355650
(Pikiran Rakyat)","Bandung, Jawa Barat",18,427603,320723,7/21/2009 18:48,12/20/2020 14:47,1,"Ramai soal Vaksinasi, Apa Saja sih Sebetulnya Kandungan Vaksin Covid-19 itu?

https://t.co/JYMPlihz77

#vaksin #vaksinasi #indonesia #vaksinitubaik #lawancorona #lawancovid19 #ingatpesanibu #3m #corona #covid19 #animasi #tips","[{'text': 'vaksin', 'indices': [103, 110]}, {'text': 'vaksinasi', 'indices': [111, 121]}, {'text': 'indonesia', 'indices': [122, 132]}, {'text': 'vaksinitubaik', 'indices': [133, 147]}, {'text': 'lawancorona', 'indices': [148, 160]}, {'text': 'lawancovid19', 'indices': [161, 174]}, {'text': 'ingatpesanibu', 'indices': [175, 189]}, {'text': '3m', 'indices': [190, 193]}, {'text': 'corona', 'indices': [194, 201]}, {'text': 'covid19', 'indices': [202, 210]}, {'text': 'animasi', 'indices': [211, 219]}, {'text': 'tips', 'indices': [220, 225]}]"
syahpewaris,,"Kuala Kedah, Kedah",637,92,17210,7/24/2015 1:25,12/20/2020 14:43,63,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]"
PMR_Ranau,PMR Ranau,"Ranau, Sabah",503,301,8156,2/13/2020 6:54,12/20/2020 14:34,8,"Lindungi orang yang kita sayang dengan vaksin.

#JaPenSabah 
#KomunikasiKita
#VaksinCovid19 
#JabatanPenerangan https://t.co/SBU1Xzfw69","[{'text': 'JaPenSabah', 'indices': [64, 75]}, {'text': 'KomunikasiKita', 'indices': [77, 92]}, {'text': 'VaksinCovid19', 'indices': [93, 107]}, {'text': 'JabatanPenerangan', 'indices': [109, 127]}]"
TrioMacari2000,"akun komunitas intelejen publik utk pencerahan, perangi korupsi, kemunafikan pemimpin negeri. Utamakan Kejujuran Utk anak bangsa yang MERDEKA",Nowhere but everywhere,2509,6725,79714,2/21/2013 15:28,12/20/2020 14:29,5,"Mantan Wakil Ketua DPR Fahri Hamzah menyampaikan usul terkait pihak yang pertama kali divaksin. Dia menuliskannya lewat akun Twitternya, @Fahrihamzah, Minggu, 20 Desember 2020. Selengkapnya di https://t.co/wzujd6GSdH
-
#vaksincovid19 #sinovac #presidenjokowi #fahrihamzah https://t.co/rNLx3XnpXx",[]
adipurwa74,"Farmer and also Work with farmer : hybrid rice and corn seed production, dad 2 sons",,1241,2182,46538,6/21/2012 14:01,12/20/2020 14:26,3,"Kalau karena #Corona merasa tidak takut?

Mengapa harus takut #Vaksin 

Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 

#VaksinUntukNegeri 
#vaksinuntukkita","[{'text': 'Corona', 'indices': [31, 38]}, {'text': 'Vaksin', 'indices': [80, 87]}, {'text': 'vaksincorona', 'indices': [98, 111]}]"
beritakitacoid,"Situs Berita Terpercaya Untuk Kita
Follow dan Ikuti Beritanya di
FB - Fanspage : Beritakitacoid
IG : Beritakitacoid
Twitter :Beritakitacoid
DM For Business/Adv",,47,10,406,6/8/2020 14:17,12/20/2020 14:19,0,"Vaksinasi Covid Jadi 'Spirit' Kebangkitan Ekonomi Lamsel
https://t.co/xbT8QUAZ2d

#beritakitacoid #sobatkita #Lampung #Lampungselatan #Lamsel #VaksinCOVID19 #Vaksin #vaksinuntukkita #VaksinUntukNegeri #vaksingratisutkrakyat #vaksindatangtetapjaga3m #Covid_19 #EkonomiIndonesia https://t.co/2JtQW6rIc1","[{'text': 'beritakitacoid', 'indices': [82, 97]}, {'text': 'sobatkita', 'indices': [98, 108]}, {'text': 'Lampung', 'indices': [109, 117]}, {'text': 'Lampungselatan', 'indices': [118, 133]}, {'text': 'Lamsel', 'indices': [134, 141]}, {'text': 'VaksinCOVID19', 'indices': [142, 156]}, {'text': 'Vaksin', 'indices': [157, 164]}, {'text': 'vaksinuntukkita', 'indices': [165, 181]}, {'text': 'VaksinUntukNegeri', 'indices': [182, 200]}, {'text': 'vaksingratisutkrakyat', 'indices': [201, 223]}, {'text': 'vaksindatangtetapjaga3m', 'indices': [224, 248]}, {'text': 'Covid_19', 'indices': [249, 258]}, {'text': 'EkonomiIndonesia', 'indices': [259, 276]}]"
dumbleadoreyou,97% extrovert,Malang,525,549,35461,12/20/2013 3:34,12/20/2020 14:14,67,"Lihat berita hari ini dari CNN Indonesia, Amerika Serikat berencana akan melakukan vaksinasi di minggu ke dua. Kita sama-sama doain semoga lancar ya prosesnya. 
#VaksinUntukKita https://t.co/EoxKydBKaN",[]
widya_analytic,"Data, Big Data, Data Analytic for Better Live
https://t.co/Xkinjs3jTD",,9,120,170,12/5/2019 22:51,12/20/2020 14:13,0,"Kalau menurut kamu, apakah vaksin merupakan solusi paling tepat untuk wabah covid-19 di Indonesia?
.
#vaksin #sinovac #tobaai #widyaanalytic #covid19 #pandemi #indonesia #dataanalytic #data #bigdata https://t.co/9lqjfiqhJR","[{'text': 'vaksin', 'indices': [101, 108]}, {'text': 'sinovac', 'indices': [109, 117]}, {'text': 'tobaai', 'indices': [118, 125]}, {'text': 'widyaanalytic', 'indices': [126, 140]}, {'text': 'covid19', 'indices': [141, 149]}, {'text': 'pandemi', 'indices': [150, 158]}, {'text': 'indonesia', 'indices': [159, 169]}, {'text': 'dataanalytic', 'indices': [170, 183]}, {'text': 'data', 'indices': [184, 189]}, {'text': 'bigdata', 'indices': [190, 198]}]"
Boel22834820,suka bahagia boss koe,,116,13,449,10/13/2020 4:50,12/20/2020 14:09,12,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",[]
hcahyono,"Fishmonger, Seafood Exporter, Rock 'n Roll Lover, Bakul Iwak 🐟, Cold chain Logistics, asli Magetan,tinggal di Surabaya  #JOKOWER #NKRI🇮🇩 #SEAFOOD #HUHATE","Kota Surabaya, Jawa Timur",3936,6027,67735,5/30/2009 17:46,12/20/2020 14:08,3,"Kalau karena #Corona merasa tidak takut?

Mengapa harus takut #Vaksin 

Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 

#VaksinUntukNegeri 
#vaksinuntukkita","[{'text': 'Corona', 'indices': [31, 38]}, {'text': 'Vaksin', 'indices': [80, 87]}, {'text': 'vaksincorona', 'indices': [98, 111]}]"
MisbahWiyono,"#Gusdurian, #Naqsyahbandiyah,  #WoodFurniture, #PonpesDarrulArsy, 
#Pecintabuku, #Anakepapat","Rangkasbitung, Indonesia",1621,2383,29607,12/16/2013 2:37,12/20/2020 14:07,3,"Kalau karena #Corona merasa tidak takut?

Mengapa harus takut #Vaksin 

Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 

#VaksinUntukNegeri 
#vaksinuntukkita","[{'text': 'Corona', 'indices': [13, 20]}, {'text': 'Vaksin', 'indices': [62, 69]}, {'text': 'vaksincorona', 'indices': [80, 93]}, {'text': 'Covid_19', 'indices': [121, 130]}, {'text': 'VaksinUntukNegeri', 'indices': [133, 151]}, {'text': 'vaksinuntukkita', 'indices': [153, 169]}]"
BalingPmr,,,137,190,21718,5/20/2019 3:02,12/20/2020 14:05,47,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]"
utamanewscom,Mention kicauan anda ke akun ini. Media informasi terbuka warga Sumut.,e-mail : utamanews@gmail.com,39,980,89368,1/10/2013 10:35,12/20/2020 14:01,0,"Ketegasan Presiden #Jokowi terhadap polemik tersebut merupakan upaya negara dalam mengakomodasi aspirasi masyarakat, termasuk dalam mengadakan #vaksin #gratis

https://t.co/56GB2LdIq5","[{'text': 'Jokowi', 'indices': [19, 26]}, {'text': 'vaksin', 'indices': [143, 150]}, {'text': 'gratis', 'indices': [151, 158]}]"
BalingPmr,,,137,190,21718,5/20/2019 3:02,12/20/2020 14:01,63,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]"
ockyjhon,JoniJoyBoy,"Jakarta Capital Region, Indonesia",75,16,124,1/12/2020 3:30,12/20/2020 13:59,1,"Malam Perseners!

Kita baru nge-up video tentang vaksin Covid-19 nih collab bareng @VaksinUntukKita 
Langsung nonton aja yuk! Tinggal klik link di bawah ini :)
https://t.co/BrWjU65xGX

#Covid_19 #vaksinuntukkita #VaksinUntukNegeri #VaksinCOVID19 https://t.co/eteT4DrkLN",[]
fay_erha,"A long, long time a go, before the wind, before the snow...!!!!",indonesia,2784,599,5281,8/1/2012 12:57,12/20/2020 13:55,12,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",[]
anagustini,"Baking&cook is my hobies.Former work at Tempo media n The Jakarta Post. I graduated from Unpad, interest & experience with photography, digital and socmed.",Tangerang Selatan,686,327,2895,4/22/2009 2:36,12/20/2020 13:53,2,"Minggu ini ada berita yang kita tunggu-tunggu nih! Apa aja ya kira-kira? Selengkapnya di Berita Baru Vaksin ya!

#VaksinUntukKita https://t.co/j9kCoNTniP",[]
satupersen_id,"Klik link di bawah untuk daftar Webinar, Kelas Online, atau book Konsultasi dengan Mentor dan Psikolog⬇",,28,36170,5954,2/18/2019 23:18,12/20/2020 13:51,1,"Malam Perseners!

Kita baru nge-up video tentang vaksin Covid-19 nih collab bareng @VaksinUntukKita 
Langsung nonton aja yuk! Tinggal klik link di bawah ini :)
https://t.co/BrWjU65xGX

#Covid_19 #vaksinuntukkita #VaksinUntukNegeri #VaksinCOVID19 https://t.co/eteT4DrkLN","[{'text': 'Covid_19', 'indices': [185, 194]}, {'text': 'vaksinuntukkita', 'indices': [195, 211]}, {'text': 'VaksinUntukNegeri', 'indices': [212, 230]}, {'text': 'VaksinCOVID19', 'indices': [231, 245]}]"
LeeNyukLan1,,,30,38,7415,2/6/2020 3:08,12/20/2020 13:51,4,"@JPenerangan RT @JPenerangan: COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan
#sodiakroks  https://t.co/Tpd4nF29nq",[]
LeeNyukLan1,,,30,38,7415,2/6/2020 3:08,12/20/2020 13:51,61,"COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/wlLG5ERx2o","[{'text': 'KomunikasiKita', 'indices': [113, 128]}]"
nanymulyanie,"Wife,mother and Social activist","Lembang, Bandung, Indonesia",439,321,15377,4/10/2013 12:52,12/20/2020 13:46,12,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",[]
Mela_Triksi,,"Banjar, Indonesia",199,45,1512,5/25/2020 20:05,12/20/2020 13:43,12,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",[]
lanykh_,panggil saja RAISA karena SERBA SALAH,"Indramayu, Indonesia",379,127,18528,7/4/2018 11:42,12/20/2020 13:43,14,"Kalian pasti semenjak pandemi jadi sering mendengar kata-kata herd immunity gaksiii? Nah vaksinasi sendiri merupakan cara paling aman untuk mendapatkan kekebalan banyak orang sekaligus. 
#VaksinUntukKita https://t.co/c5qLg83KiV",[]
toranaga3000,イスラム教の栄光のために戦う🌐you follow I pasti follow asal bukan cebi..🌋,"Barbourville, KY",1953,2561,397812,8/22/2014 9:09,12/20/2020 13:36,5,"Mantan Wakil Ketua DPR Fahri Hamzah menyampaikan usul terkait pihak yang pertama kali divaksin. Dia menuliskannya lewat akun Twitternya, @Fahrihamzah, Minggu, 20 Desember 2020. Selengkapnya di https://t.co/wzujd6GSdH
-
#vaksincovid19 #sinovac #presidenjokowi #fahrihamzah https://t.co/rNLx3XnpXx",[]
progresaid,A student-run think tank. We advocate for progress by promoting awareness of the defining issues of our time.,,22,331,381,7/27/2020 15:13,12/20/2020 13:33,0,"Sekarang, ke catatan inti. 

Rabu lalu, Presiden Jokowi mengumumkan bahwa #VaksinCOVID19 akan diberikan secara gratis kepada masyarakat Indonesia. 

https://t.co/FuaLL2vmOd","[{'text': 'VaksinCOVID19', 'indices': [74, 88]}]"
EdwarFeggy,Save NKRI yang bermartabat,,714,251,14437,8/9/2020 14:23,12/20/2020 13:31,12,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",[]
liranti,"🏠 : Jakarta
📚 : Jakarta State University
        Magister Management Yarsi #猫好き🐈 #single",jakarta timur,904,677,124090,8/19/2009 11:28,12/20/2020 13:26,12,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",[]
insunpredator,حَسْبُنَا اللّٰهُ وَنِعْمَ الْوَكِيْلُ,"Kota Surabaya, Jawa Timur",345,398,367561,8/5/2015 23:40,12/20/2020 13:22,12,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",[]
RebanaIndo,"🌏👬👭🇮🇩⛑📍
bring back the joy 🙂
ketika aku menjadi kita",,1122,1073,299,9/4/2017 17:40,12/20/2020 13:11,11,"Prof. Zubairi Djoerban selaku Ketua Satgas Covid-19 Ikatan Dokter Indonesia menjelaskan bahwa Ikatan Dokter Indonesia (IDI) akan mendukung vaksinasi setelah EUA keluar. 
#VaksinUntukKita https://t.co/DnPi1qgoYY",[]
adhinovth,Ngapain bong liat2... 😊,Indonesia,1217,941,14113,12/24/2016 9:15,12/20/2020 13:10,12,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",[]
MrsRaaid,,,222,378,8967,1/19/2016 2:50,12/20/2020 13:10,47,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]"
MrsRaaid,,,222,378,8967,1/19/2016 2:50,12/20/2020 13:10,63,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]"
dr_koko28,"I'm a MD. A food, book, travel lover. Dokter Seribu Pulau. Chairman JDN Indonesia. ADVIS. Gerakan Indonesia Sehat 5.0 #DokterAkalSehat. ☎️📲 : 08114600208","Menteng, Indonesia",4984,143625,28736,10/17/2018 23:31,12/20/2020 13:08,12,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm","[{'text': 'vaksinuntukkita', 'indices': [147, 163]}, {'text': 'vaksinuntuksemua', 'indices': [164, 181]}, {'text': 'sehatuntuksemua', 'indices': [182, 198]}]"
leliana_p,Alhamdulillah 💞,,294,316,5544,2/8/2015 6:11,12/20/2020 13:06,60,"Bisa #KembaliBertemu orang tua yang terkasih dan dirindukan memang menjadi hal yang tak ternilai bagi para tenaga kesehatan. Makanya kita sama-sama dukung mereka dengan terus menaati protokol 3M. 
#VaksinUntukKita https://t.co/Lij4qGKILa","[{'text': 'KembaliBertemu', 'indices': [26, 41]}]"
RadioRTM_Rasmi,34 Stesen 1 Suara. Dengar kami secara online di https://t.co/0Woic8Ar2c dan RTM Mobile,,203,250,6354,4/28/2020 12:36,12/20/2020 12:58,1,"Bersama YBhg. Prof. Datuk Dr. Lokman Hakim Sulaiman FACs, Felo @akademisains bagi membicarakan topik mengenai Vaksin Dalam Kehidupan.

Jam 10.30 pagi, pada Isnin, 21 Disember 2020. Dengarkannya di @nasionalfm_my atau ikuti melalui https://t.co/QJy5grtvgy

.
#mosti
#STIE
#vaksin https://t.co/iGrLerXJeh",[]
